input: kSATu.cnf.csv
generated by: kSAT_solver_nswat.py
Problem 2000: Satisfiable
Problem 2001: Satisfiable
Problem 2002: Unsatisfiable
Problem 2003: Satisfiable
Problem 2004: Satisfiable
Problem 2005: Unsatisfiable
Problem 2006: Satisfiable
Problem 2007: Unsatisfiable
Problem 2008: Satisfiable
Problem 2009: Unsatisfiable
Problem 2010: Unsatisfiable
Problem 2011: Satisfiable
Problem 2012: Satisfiable
Problem 2013: Satisfiable
Problem 2014: Unsatisfiable
Problem 2015: Unsatisfiable
Problem 2016: Satisfiable
Problem 2017: Satisfiable
Problem 2018: Unsatisfiable
Problem 2019: Unsatisfiable
Problem 2020: Unsatisfiable
Problem 2021: Satisfiable
Problem 2022: Unsatisfiable
Problem 2023: Unsatisfiable
Problem 2024: Satisfiable
Problem 2025: Unsatisfiable
Problem 2026: Unsatisfiable
Problem 2027: Satisfiable
Problem 2028: Satisfiable
Problem 2029: Unsatisfiable
Problem 2030: Unsatisfiable
Problem 2031: Unsatisfiable
Problem 2032: Unsatisfiable
Problem 2033: Satisfiable
Problem 2034: Unsatisfiable
Problem 2035: Unsatisfiable
Problem 2036: Satisfiable
Problem 2037: Unsatisfiable
Problem 2038: Unsatisfiable
Problem 2039: Unsatisfiable
Problem 2040: Unsatisfiable
Problem 2041: Satisfiable
Problem 2042: Unsatisfiable
Problem 2043: Unsatisfiable
Problem 2044: Unsatisfiable
Problem 2045: Satisfiable
Problem 2046: Satisfiable
Problem 2047: Unsatisfiable
Problem 2048: Unsatisfiable
Problem 2049: Unsatisfiable
Problem 2050: Unsatisfiable
Problem 2051: Satisfiable
Problem 2052: Unsatisfiable
Problem 2053: Unsatisfiable
Problem 2054: Satisfiable
Problem 2055: Unsatisfiable
Problem 2056: Unsatisfiable
Problem 2057: Satisfiable
Problem 2058: Unsatisfiable
Problem 2059: Satisfiable
Problem 2060: Unsatisfiable
Problem 2061: Unsatisfiable
Problem 2062: Unsatisfiable
Problem 2063: Unsatisfiable
Problem 2064: Unsatisfiable
Problem 2065: Unsatisfiable
Problem 2066: Unsatisfiable
Problem 2067: Unsatisfiable
Problem 2068: Unsatisfiable
Problem 2069: Unsatisfiable
Problem 2070: Unsatisfiable
Problem 2071: Unsatisfiable
Problem 2072: Unsatisfiable
Problem 2073: Satisfiable
Problem 2074: Unsatisfiable
Problem 2075: Unsatisfiable
Problem 2076: Satisfiable
Problem 2077: Satisfiable
Problem 2078: Unsatisfiable
Problem 2079: Satisfiable
Problem 2080: Unsatisfiable
Problem 2081: Satisfiable
Problem 2082: Satisfiable
Problem 2083: Satisfiable
Problem 2084: Unsatisfiable
Problem 2085: Satisfiable
Problem 2086: Satisfiable
Problem 2087: Unsatisfiable
Problem 2088: Unsatisfiable
Problem 2089: Satisfiable
Problem 2090: Satisfiable
Problem 2091: Unsatisfiable
Problem 2092: Unsatisfiable
Problem 2093: Satisfiable
Problem 2094: Satisfiable
Problem 2095: Satisfiable
Problem 2096: Unsatisfiable
Problem 2097: Satisfiable
Problem 2098: Unsatisfiable
Problem 2099: Satisfiable
Problem 2100: Unsatisfiable
Problem 2101: Unsatisfiable
Problem 2102: Unsatisfiable
Problem 2103: Satisfiable
Problem 2104: Satisfiable
Problem 2105: Satisfiable
Problem 2106: Unsatisfiable
Problem 2107: Unsatisfiable
Problem 2108: Unsatisfiable
Problem 2109: Satisfiable
Problem 2110: Unsatisfiable
Problem 2111: Satisfiable
Problem 2112: Satisfiable
Problem 2113: Unsatisfiable
Problem 2114: Unsatisfiable
Problem 2115: Satisfiable
Problem 2116: Unsatisfiable
Problem 2117: Unsatisfiable
Problem 2118: Unsatisfiable
Problem 2119: Unsatisfiable
Problem 2120: Unsatisfiable
Problem 2121: Satisfiable
Problem 2122: Unsatisfiable
Problem 2123: Unsatisfiable
Problem 2124: Unsatisfiable
Problem 2125: Unsatisfiable
Problem 2126: Unsatisfiable
Problem 2127: Unsatisfiable
Problem 2128: Unsatisfiable
Problem 2129: Unsatisfiable
Problem 2130: Unsatisfiable
Problem 2131: Unsatisfiable
Problem 2132: Unsatisfiable
Problem 2133: Satisfiable
Problem 2134: Unsatisfiable
Problem 2135: Unsatisfiable
Problem 2136: Unsatisfiable
Problem 2137: Unsatisfiable
Problem 2138: Unsatisfiable
Problem 2139: Satisfiable
Problem 2140: Unsatisfiable
Problem 2141: Unsatisfiable
Problem 2142: Unsatisfiable
Problem 2143: Unsatisfiable
Problem 2144: Unsatisfiable
Problem 2145: Satisfiable
Problem 2146: Unsatisfiable
Problem 2147: Unsatisfiable
Problem 2148: Unsatisfiable
Problem 2149: Unsatisfiable
Problem 2150: Unsatisfiable
Problem 2151: Unsatisfiable
Problem 2152: Unsatisfiable
Problem 2153: Unsatisfiable
Problem 2154: Unsatisfiable
Problem 2155: Unsatisfiable
Problem 2156: Unsatisfiable
Problem 2157: Unsatisfiable
Problem 2158: Unsatisfiable
Problem 2159: Satisfiable
Problem 2160: Unsatisfiable
Problem 2161: Unsatisfiable
Problem 2162: Unsatisfiable
Problem 2163: Unsatisfiable
Problem 2164: Satisfiable
Problem 2165: Unsatisfiable
Problem 2166: Satisfiable
Problem 2167: Satisfiable
Problem 2168: Satisfiable
Problem 2169: Unsatisfiable
Problem 2170: Unsatisfiable
Problem 2171: Satisfiable
Problem 2172: Satisfiable
Problem 2173: Satisfiable
Problem 2174: Satisfiable
Problem 2175: Satisfiable
Problem 2176: Satisfiable
Problem 2177: Unsatisfiable
Problem 2178: Unsatisfiable
Problem 2179: Satisfiable
Problem 2180: Satisfiable
Problem 2181: Satisfiable
Problem 2182: Satisfiable
Problem 2183: Unsatisfiable
Problem 2184: Unsatisfiable
Problem 2185: Unsatisfiable
Problem 2186: Satisfiable
Problem 2187: Unsatisfiable
Problem 2188: Satisfiable
Problem 2189: Unsatisfiable
Problem 2190: Unsatisfiable
Problem 2191: Unsatisfiable
Problem 2192: Unsatisfiable
Problem 2193: Satisfiable
Problem 2194: Unsatisfiable
Problem 2195: Satisfiable
Problem 2196: Unsatisfiable
Problem 2197: Unsatisfiable
Problem 2198: Satisfiable
Problem 2199: Satisfiable
Problem 2200: Satisfiable
Problem 2201: Satisfiable
Problem 2202: Unsatisfiable
Problem 2203: Satisfiable
Problem 2204: Unsatisfiable
Problem 2205: Satisfiable
Problem 2206: Satisfiable
Problem 2207: Unsatisfiable
Problem 2208: Unsatisfiable
Problem 2209: Satisfiable
Problem 2210: Satisfiable
Problem 2211: Satisfiable
Problem 2212: Unsatisfiable
Problem 2213: Unsatisfiable
Problem 2214: Satisfiable
Problem 2215: Unsatisfiable
Problem 2216: Unsatisfiable
Problem 2217: Unsatisfiable
Problem 2218: Satisfiable
Problem 2219: Satisfiable
Problem 2220: Satisfiable
Problem 2221: Satisfiable
Problem 2222: Satisfiable
Problem 2223: Satisfiable
Problem 2224: Satisfiable
Problem 2225: Unsatisfiable
Problem 2226: Unsatisfiable
Problem 2227: Satisfiable
Problem 2228: Unsatisfiable
Problem 2229: Unsatisfiable
Problem 2230: Unsatisfiable
Problem 2231: Unsatisfiable
Problem 2232: Satisfiable
Problem 2233: Unsatisfiable
Problem 2234: Unsatisfiable
Problem 2235: Satisfiable
Problem 2236: Unsatisfiable
Problem 2237: Unsatisfiable
Problem 2238: Satisfiable
Problem 2239: Unsatisfiable
